[NanoDet][12-12 09:27:08]INFO: Setting up data...
[NanoDet][12-12 09:27:10]INFO: Creating model...
[NanoDet][12-12 11:41:36]INFO: Train|Epoch85/100|Iter760(4)| lr:1.40e-01| loss_qfl:0.1169| loss_bbox:0.3210| loss_dfl:0.1839| 
[NanoDet][12-12 11:43:06]INFO: Train|Epoch86/100|Iter770(5)| lr:1.40e-01| loss_qfl:0.1894| loss_bbox:0.3771| loss_dfl:0.1944| 
[NanoDet][12-12 11:44:35]INFO: Train|Epoch87/100|Iter780(6)| lr:1.40e-01| loss_qfl:0.1374| loss_bbox:0.3657| loss_dfl:0.1917| 
[NanoDet][12-12 11:46:07]INFO: Train|Epoch88/100|Iter790(7)| lr:1.40e-01| loss_qfl:0.1249| loss_bbox:0.3774| loss_dfl:0.1984| 
[NanoDet][12-12 11:47:37]INFO: Train|Epoch89/100|Iter800(8)| lr:1.40e-01| loss_qfl:0.1481| loss_bbox:0.3432| loss_dfl:0.1841| 
[NanoDet][12-12 11:49:53]INFO: Val|Epoch90/100|Iter810(0)| lr:1.40e-01| loss_qfl:0.2847| loss_bbox:0.2786| loss_dfl:0.1791| 
[NanoDet][12-12 11:50:00]INFO: Val_metrics: {'mAP': 0.0999848570663916, 'AP_50': 0.13871796910712375, 'AP_75': 0.1152676041175985, 'AP_small': -1.0, 'AP_m': 0.03999999999999999, 'AP_l': 0.10133818288922616}
[NanoDet][12-12 11:51:24]INFO: Train|Epoch91/100|Iter810(0)| lr:1.40e-01| loss_qfl:0.1069| loss_bbox:0.3335| loss_dfl:0.1841| 
[NanoDet][12-12 11:52:56]INFO: Train|Epoch92/100|Iter820(1)| lr:1.40e-01| loss_qfl:0.1239| loss_bbox:0.3380| loss_dfl:0.1796| 
[NanoDet][12-12 11:54:24]INFO: Train|Epoch93/100|Iter830(2)| lr:1.40e-01| loss_qfl:0.1396| loss_bbox:0.3641| loss_dfl:0.1878| 
[NanoDet][12-12 11:55:54]INFO: Train|Epoch94/100|Iter840(3)| lr:1.40e-01| loss_qfl:0.1472| loss_bbox:0.3606| loss_dfl:0.1880| 
[NanoDet][12-12 11:57:25]INFO: Train|Epoch95/100|Iter850(4)| lr:1.40e-01| loss_qfl:0.1514| loss_bbox:0.3559| loss_dfl:0.1881| 
[NanoDet][12-12 11:58:54]INFO: Train|Epoch96/100|Iter860(5)| lr:1.40e-01| loss_qfl:0.1580| loss_bbox:0.3557| loss_dfl:0.1805| 
[NanoDet][12-12 12:00:25]INFO: Train|Epoch97/100|Iter870(6)| lr:1.40e-01| loss_qfl:0.1570| loss_bbox:0.3602| loss_dfl:0.1901| 
[NanoDet][12-12 12:01:54]INFO: Train|Epoch98/100|Iter880(7)| lr:1.40e-01| loss_qfl:0.0980| loss_bbox:0.3821| loss_dfl:0.1892| 
[NanoDet][12-12 12:03:22]INFO: Train|Epoch99/100|Iter890(8)| lr:1.40e-01| loss_qfl:0.1343| loss_bbox:0.4109| loss_dfl:0.1975| 
[NanoDet][12-12 12:05:39]INFO: Val|Epoch100/100|Iter900(0)| lr:1.40e-01| loss_qfl:0.3101| loss_bbox:0.2723| loss_dfl:0.1740| 
[NanoDet][12-12 12:05:46]INFO: Val_metrics: {'mAP': 0.10081856841453216, 'AP_50': 0.1366242784002113, 'AP_75': 0.11543301442287303, 'AP_small': -1.0, 'AP_m': 0.03999999999999999, 'AP_l': 0.10219184511595351}
